
2025/04/10 (21:56:31) | ===> btop++ v.1.3.0
2025/04/10 (21:56:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/10 (21:56:31) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/10 (21:56:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/16 (21:00:21) | ===> btop++ v.1.3.0
2025/04/16 (21:00:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/16 (21:00:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/16 (21:00:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/16 (21:01:43) | ===> btop++ v.1.3.0
2025/04/16 (21:01:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/16 (21:01:43) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/16 (21:01:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/18 (18:27:04) | ===> btop++ v.1.3.0
2025/04/18 (18:27:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/18 (18:27:04) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/18 (18:27:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/18 (18:30:10) | ===> btop++ v.1.3.0
2025/04/18 (18:30:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/18 (18:30:10) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/18 (18:30:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/20 (10:58:42) | ===> btop++ v.1.3.0
2025/04/20 (10:58:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
